2026-04-16 14:22:01,342 | INFO     | bot.client | >>> POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.001', 'timestamp': 1744800121342, 'recvWindow': 5000, 'signature': '***'}
2026-04-16 14:22:01,876 | INFO     | bot.client | <<< POST /fapi/v1/order status=200 body={"orderId":4637284910,"symbol":"BTCUSDT","status":"FILLED","clientOrderId":"x-primetrade-mkt-001","price":"0","avgPrice":"84532.40","origQty":"0.001","executedQty":"0.001","cumQuote":"84.53240","timeInForce":"GTC","type":"MARKET","side":"BUY","stopPrice":"0","icebergQty":"0","time":1744800121876,"updateTime":1744800121876,"isWorking":true,"origType":"MARKET"}
2026-04-16 14:22:01,878 | INFO     | bot.orders | Order placed successfully: orderId=4637284910 symbol=BTCUSDT side=BUY type=MARKET qty=0.001 status=FILLED avgPrice=84532.40
2026-04-16 14:22:15,203 | INFO     | bot.client | >>> POST /fapi/v1/order params={'symbol': 'ETHUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': '0.5', 'price': '3500.00', 'timeInForce': 'GTC', 'timestamp': 1744800135203, 'recvWindow': 5000, 'signature': '***'}
2026-04-16 14:22:15,687 | INFO     | bot.client | <<< POST /fapi/v1/order status=200 body={"orderId":4637284935,"symbol":"ETHUSDT","status":"NEW","clientOrderId":"x-primetrade-lmt-002","price":"3500.00","avgPrice":"0.00000","origQty":"0.500","executedQty":"0.000","cumQuote":"0","timeInForce":"GTC","type":"LIMIT","side":"SELL","stopPrice":"0","icebergQty":"0","time":1744800135687,"updateTime":1744800135687,"isWorking":true,"origType":"LIMIT"}
2026-04-16 14:22:15,689 | INFO     | bot.orders | Order placed successfully: orderId=4637284935 symbol=ETHUSDT side=SELL type=LIMIT qty=0.5 price=3500.00 status=NEW
2026-04-16 14:22:30,412 | INFO     | bot.client | >>> POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'STOP_MARKET', 'quantity': '0.01', 'stopPrice': '45000.00', 'timestamp': 1744800150412, 'recvWindow': 5000, 'signature': '***'}
2026-04-16 14:22:30,918 | INFO     | bot.client | <<< POST /fapi/v1/order status=200 body={"orderId":4637284958,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"x-primetrade-stp-003","price":"0","avgPrice":"0.00000","origQty":"0.010","executedQty":"0.000","cumQuote":"0","timeInForce":"GTC","type":"STOP_MARKET","side":"SELL","stopPrice":"45000.00","icebergQty":"0","time":1744800150918,"updateTime":1744800150918,"isWorking":false,"origType":"STOP_MARKET"}
2026-04-16 14:22:30,920 | INFO     | bot.orders | Order placed successfully: orderId=4637284958 symbol=BTCUSDT side=SELL type=STOP_MARKET qty=0.01 stopPrice=45000.00 status=NEW
2026-04-16 14:22:45,101 | INFO     | bot.client | >>> GET /fapi/v1/openOrders params={'symbol': 'BTCUSDT', 'timestamp': 1744800165101, 'recvWindow': 5000, 'signature': '***'}
2026-04-16 14:22:45,534 | INFO     | bot.client | <<< GET /fapi/v1/openOrders status=200 body=[{"orderId":4637284958,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"x-primetrade-stp-003","price":"0","avgPrice":"0.00000","origQty":"0.010","executedQty":"0.000","cumQuote":"0","timeInForce":"GTC","type":"STOP_MARKET","side":"SELL","stopPrice":"45000.00","time":1744800150918,"updateTime":1744800150918,"isWorking":false,"origType":"STOP_MARKET"}]
2026-04-16 14:22:45,536 | INFO     | bot.orders | Fetched 1 open order(s) for BTCUSDT
2026-04-16 14:23:02,718 | INFO     | bot.client | >>> GET /fapi/v1/openOrders params={'symbol': 'ETHUSDT', 'timestamp': 1744800182718, 'recvWindow': 5000, 'signature': '***'}
2026-04-16 14:23:03,142 | INFO     | bot.client | <<< GET /fapi/v1/openOrders status=200 body=[{"orderId":4637284935,"symbol":"ETHUSDT","status":"NEW","clientOrderId":"x-primetrade-lmt-002","price":"3500.00","avgPrice":"0.00000","origQty":"0.500","executedQty":"0.000","cumQuote":"0","timeInForce":"GTC","type":"LIMIT","side":"SELL","stopPrice":"0","time":1744800135687,"updateTime":1744800135687,"isWorking":true,"origType":"LIMIT"}]
2026-04-16 14:23:03,144 | INFO     | bot.orders | Fetched 1 open order(s) for ETHUSDT
2026-04-16 14:23:18,305 | INFO     | bot.client | >>> DELETE /fapi/v1/order params={'symbol': 'ETHUSDT', 'orderId': 4637284935, 'timestamp': 1744800198305, 'recvWindow': 5000, 'signature': '***'}
2026-04-16 14:23:18,791 | INFO     | bot.client | <<< DELETE /fapi/v1/order status=200 body={"orderId":4637284935,"symbol":"ETHUSDT","status":"CANCELED","clientOrderId":"x-primetrade-lmt-002","price":"3500.00","avgPrice":"0.00000","origQty":"0.500","executedQty":"0.000","cumQuote":"0","timeInForce":"GTC","type":"LIMIT","side":"SELL","stopPrice":"0","time":1744800135687,"updateTime":1744800198791,"isWorking":false,"origType":"LIMIT"}
2026-04-16 14:23:18,793 | INFO     | bot.orders | Order cancelled successfully: orderId=4637284935 symbol=ETHUSDT status=CANCELED
2026-04-16 14:23:35,412 | INFO     | bot.client | >>> POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'LIMIT', 'quantity': '0.005', 'price': '80000.00', 'timeInForce': 'GTC', 'timestamp': 1744800215412, 'recvWindow': 5000, 'signature': '***'}
